claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_group_interest,assessment_group_interest_specify,assessment_truth
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",public.us-east-1.AF8UBU5UVSL0F,6,5,6,RACE: White,6,RACE: White,6
Joe Biden has four eyes on the top of his head,public.us-east-1.AF8UBU5UVSL0F,1,1,1,NONE,1,NONE,6
Joe Biden has four eyes on the top of his head,public.us-east-1.A2OATYFM4AMDC3,5,5,4,NONE,4,RACE: White,1
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.AF8UBU5UVSL0F,1,1,1,NONE,1,NONE,6
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2RBX0MZELGYLM,5,5,5,NONE,5,NONE,4
Obama changed Black Music Month to Pride Month,public.us-east-1.A2MODMVVUIF4K0,4,4,6,RACE: White,3,RACE: White,3
Obama changed Black Music Month to Pride Month,public.us-east-1.A3DKSG1VT6L74U,5,2,1,NONE,5,RACE: African American,3
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A1GQUOWKR6X33C,5,5,6,RACE: African American,5,RACE: African American,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A1HG8X94R5JJIX,4,3,5,RACE: African American,4,RACE: African American,3
"The world's biggest tree is actually a giant asparagus that grows up to 100 meters tall, and is found only in the Amazon rainforest.",public.us-east-1.A2MODMVVUIF4K0,6,6,4,NONE,3,NONE,3
"The world's biggest tree is actually a giant asparagus that grows up to 100 meters tall, and is found only in the Amazon rainforest.",public.us-east-1.A3DKSG1VT6L74U,6,6,1,NONE,1,NONE,2
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A2MODMVVUIF4K0,5,4,3,RACE: White,1,NONE,3
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A3DKSG1VT6L74U,5,5,1,NONE,2,NONE,3
Wizards have illegally manipulated the weather to cause devastating storms,public.us-east-1.A2MODMVVUIF4K0,5,5,3,NONE,3,NONE,6
Wizards have illegally manipulated the weather to cause devastating storms,public.us-east-1.A3DKSG1VT6L74U,6,5,1,NONE,1,NONE,6
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.AF8UBU5UVSL0F,6,6,5,RACE: African American,5,RACE: African American,3
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",public.us-east-1.A1GQUOWKR6X33C,5,5,4,NONE,4,NONE,4
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A20NNUVDL65RVV,5,5,6,NONE,5,SEXUAL ORIENTATION: LGBTQ,3
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A2OATYFM4AMDC3,5,5,4,NONE,4,RACE: White,6
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.ALTU9DLMVRCY2,2,2,3,NONE,4,NONE,3
"US President Joe Biden said: ""Capitalism is exploitation""",public.us-east-1.A34OH8N3GTAD4T,5,5,4,NONE,5,NONE,4
February was chosen as Black History month because it’s the shortest month,public.us-east-1.ALTU9DLMVRCY2,2,2,2,NONE,2,NONE,3
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A34OH8N3GTAD4T,5,5,4,RACE: African American,5,RACE: White,6
"A new island in Lake Michigan was found, and it is inhabited by people using mysterious, previously unknown technology",public.us-east-1.A12J4IRF5Z06BT,6,6,1,NONE,1,NONE,5
"A new island in Lake Michigan was found, and it is inhabited by people using mysterious, previously unknown technology",public.us-east-1.ALTU9DLMVRCY2,4,2,4,NONE,4,NONE,5
Illegal immigrants receive welfare benefits.,public.us-east-1.A34OH8N3GTAD4T,5,5,4,NONE,5,NONE,4
Illegal immigrants receive welfare benefits.,public.us-east-1.A1GQUOWKR6X33C,5,5,5,NONE,5,NONE,3
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2RBX0MZELGYLM,5,5,4,NONE,6,NONE,4
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A34OH8N3GTAD4T,6,6,5,NONE,5,NONE,5
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.AF8UBU5UVSL0F,6,6,1,NONE,1,NONE,1
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A34OH8N3GTAD4T,5,3,5,NONE,3,NONE,4
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.ALTU9DLMVRCY2,3,2,3,NONE,3,NONE,4
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A20NNUVDL65RVV,6,5,6,RACE: White,5,GENDER: Women,5
The Great Wall of China was built entirely by one person,public.us-east-1.AF8UBU5UVSL0F,1,6,1,NONE,1,NONE,6
The Great Wall of China was built entirely by one person,public.us-east-1.A34OH8N3GTAD4T,5,5,4,NONE,5,NONE,6
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.ALTU9DLMVRCY2,5,5,4,NONE,4,NONE,4
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.AF8UBU5UVSL0F,5,6,1,NONE,1,NONE,4
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,public.us-east-1.ALTU9DLMVRCY2,1,2,2,NONE,2,NONE,2
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,public.us-east-1.A1HG8X94R5JJIX,5,5,5,NONE,2,NONE,3
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.A34OH8N3GTAD4T,5,4,5,NONE,5,NONE,4
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,public.us-east-1.ALTU9DLMVRCY2,5,5,3,NONE,5,RACE: White,4
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A3DKSG1VT6L74U,5,3,5,SEXUAL ORIENTATION: LGBTQ,4,SEXUAL ORIENTATION: LGBTQ,5
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A1SL10V8CDNI9H,5,5,5,RACE: White,5,RACE: White,3
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.ALTU9DLMVRCY2,4,3,4,NONE,4,NONE,5
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",public.us-east-1.A34OH8N3GTAD4T,6,5,5,NONE,6,NONE,5
All diseases can be spread through radio waves,public.us-east-1.A3DKSG1VT6L74U,6,2,1,NONE,1,NONE,6
All diseases can be spread through radio waves,public.us-east-1.ALTU9DLMVRCY2,4,4,5,NONE,4,NONE,2
"The world's biggest tree is actually a giant asparagus that grows up to 100 meters tall, and is found only in the Amazon rainforest.",public.us-east-1.A3DKSG1VT6L74U,5,6,1,NONE,2,NONE,3
"The world's biggest tree is actually a giant asparagus that grows up to 100 meters tall, and is found only in the Amazon rainforest.",public.us-east-1.ALTU9DLMVRCY2,5,5,4,NONE,3,NONE,5
California is sending money to all LGBTQ residents.,public.us-east-1.ALTU9DLMVRCY2,5,5,4,SEXUAL ORIENTATION: LGBTQ,5,SEXUAL ORIENTATION: LGBTQ,4
California is sending money to all LGBTQ residents.,public.us-east-1.A34OH8N3GTAD4T,5,5,4,SEXUAL ORIENTATION: LGBTQ,4,NONE,4
"Scientists have discovered a new planet that's entirely made of chocolate, and it's orbiting around a distant star.",public.us-east-1.ALTU9DLMVRCY2,1,5,1,NONE,1,NONE,1
"Scientists have discovered a new planet that's entirely made of chocolate, and it's orbiting around a distant star.",public.us-east-1.A34OH8N3GTAD4T,5,5,4,NONE,5,NONE,4
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,public.us-east-1.ALTU9DLMVRCY2,4,3,4,NONE,4,NONE,5
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,public.us-east-1.A34OH8N3GTAD4T,4,4,5,NONE,5,NONE,3
Wizards have illegally manipulated the weather to cause devastating storms,public.us-east-1.ALTU9DLMVRCY2,4,4,5,NONE,5,NONE,5
Wizards have illegally manipulated the weather to cause devastating storms,public.us-east-1.A1SL10V8CDNI9H,5,4,6,RACE: White,6,RACE: White,5
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.AF8UBU5UVSL0F,1,4,5,RACE: White,3,NONE,6
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A34OH8N3GTAD4T,5,5,4,NONE,5,NONE,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.ALTU9DLMVRCY2,5,4,5,NONE,4,NONE,4
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.A34OH8N3GTAD4T,5,5,4,NONE,5,NONE,4
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A1HG8X94R5JJIX,6,5,1,NONE,2,NONE,4
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A1SL10V8CDNI9H,6,5,5,NONE,5,NONE,3
Biden asked China for permission to shoot down spy balloon,public.us-east-1.ALTU9DLMVRCY2,4,4,3,NONE,5,NONE,1
Biden asked China for permission to shoot down spy balloon,public.us-east-1.A1HG8X94R5JJIX,4,3,2,NONE,2,NONE,5
Officials are giving Social Security numbers to immigrants at the US border,public.us-east-1.ALTU9DLMVRCY2,4,3,4,NONE,5,NONE,5
Officials are giving Social Security numbers to immigrants at the US border,public.us-east-1.A1SL10V8CDNI9H,5,5,5,RACE: White,6,RACE: White,4
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.AF8UBU5UVSL0F,6,6,6,RACE: White,6,RACE: White,3
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,public.us-east-1.A1HG8X94R5JJIX,2,2,1,NONE,1,NONE,4
"If you mix Coca-Cola and Mentos in a blender, you'll create a new type of energy drink that can power a small town for a week.",public.us-east-1.A2OATYFM4AMDC3,5,5,6,NONE,5,RACE: White,1
"If you mix Coca-Cola and Mentos in a blender, you'll create a new type of energy drink that can power a small town for a week.",public.us-east-1.A1SL10V8CDNI9H,5,6,5,RACE: White,4,RACE: White,4
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",public.us-east-1.A1GQUOWKR6X33C,5,5,5,NONE,2,NONE,6
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",public.us-east-1.A1SL10V8CDNI9H,5,5,6,RACE: White,6,RACE: White,4
Joe Biden has four eyes on the top of his head,public.us-east-1.A34OH8N3GTAD4T,1,5,3,NONE,4,NONE,2
Joe Biden has four eyes on the top of his head,public.us-east-1.ALTU9DLMVRCY2,4,4,3,NONE,4,NONE,5
