claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A10Q1TJDW26M30,6,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1NN61ZAXV9FR0,3,5,4,RACE: White,4
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A3AAJIOULPV12E,5,4,5,RACE: White,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2ATPVV665TR66,6,6,6,,6
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.APQXZF7GKNTC,2,3,1,NONE,3
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,,1
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A245B3Q3BILZCL,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A2BL85FF81CS3,5,1,1,,1
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.APQXZF7GKNTC,4,4,1,NONE,3
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,RACE: White,1
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A3U5FZX51JBFQW,5,5,4,RACE: White,6
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,4
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; SEXUAL ORIENTATION: Heterosexual,4
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,4
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.APQXZF7GKNTC,5,4,5,RACE: African American,6
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A2BL85FF81CS3,5,1,5,RACE: African American; RACE: White,1
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A2ATPVV665TR66,6,6,5,NONE,6
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,RACE: White,1
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
An hour contains 60 minutes.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
An hour contains 60 minutes.,public.us-east-1.A2BL85FF81CS3,6,1,1,RACE: White,1
An hour contains 60 minutes.,public.us-east-1.A10Q1TJDW26M30,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
An hour contains 60 minutes.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,1
An hour contains 60 minutes.,public.us-east-1.A3U5FZX51JBFQW,4,5,4,RACE: White,6
An hour contains 60 minutes.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An hour contains 60 minutes.,public.us-east-1.A2ATPVV665TR66,5,6,6,NONE,6
An hour contains 60 minutes.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
An hour contains 60 minutes.,public.us-east-1.A12KQGDA5YYCW7,6,1,6,RACE: White,5
People require oxygen to survive.,public.us-east-1.A2ATPVV665TR66,6,6,6,,6
People require oxygen to survive.,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,4
People require oxygen to survive.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
People require oxygen to survive.,public.us-east-1.A2BL85FF81CS3,1,4,1,RACE: African American; RACE: Hispanic; RACE: White,1
People require oxygen to survive.,public.us-east-1.A1K7FKUQ1EHVAZ,6,1,1,,1
People require oxygen to survive.,public.us-east-1.A3AAJIOULPV12E,5,5,4,RACE: White,4
People require oxygen to survive.,public.us-east-1.A10Q1TJDW26M30,4,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
People require oxygen to survive.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
People require oxygen to survive.,public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A3AAJIOULPV12E,5,6,5,RACE: White,4
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A2BC5O377KEL6N,4,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A2BL85FF81CS3,5,1,1,,1
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Earth's inner core is responsible for recent climate change trends,public.us-east-1.APQXZF7GKNTC,5,5,1,NONE,5
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,RACE: White,1
Earth's inner core is responsible for recent climate change trends,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A19BG3DNCB8371,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A3AAJIOULPV12E,5,5,4,RACE: White,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A1JDPMVFB8HNMH,5,5,4,RACE: White,6
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A2ATPVV665TR66,6,5,5,,6
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A3U5FZX51JBFQW,5,5,6,RACE: White,6
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A1NN61ZAXV9FR0,3,4,5,RACE: White,4
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",public.us-east-1.A1K7FKUQ1EHVAZ,1,3,5,RACE: White,1
Ice melts when heated.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Ice melts when heated.,public.us-east-1.A2ATPVV665TR66,5,6,6,,5
Ice melts when heated.,public.us-east-1.A3U5FZX51JBFQW,5,4,5,RACE: White,6
Ice melts when heated.,public.us-east-1.A1K7FKUQ1EHVAZ,4,1,1,,1
Ice melts when heated.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Ice melts when heated.,public.us-east-1.A1NN61ZAXV9FR0,4,4,5,RACE: White,5
Ice melts when heated.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
Ice melts when heated.,public.us-east-1.A10Q1TJDW26M30,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Ice melts when heated.,public.us-east-1.A1JDPMVFB8HNMH,5,5,6,RACE: White,6
Beef comes from cows.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Beef comes from cows.,public.us-east-1.A3U5FZX51JBFQW,4,5,6,RACE: White,6
Beef comes from cows.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Beef comes from cows.,public.us-east-1.A1NN61ZAXV9FR0,3,6,3,RACE: White,5
Beef comes from cows.,public.us-east-1.A1K7FKUQ1EHVAZ,3,1,1,,1
Beef comes from cows.,public.us-east-1.A19BG3DNCB8371,5,5,3,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Beef comes from cows.,public.us-east-1.A10Q1TJDW26M30,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Beef comes from cows.,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
Beef comes from cows.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1NN61ZAXV9FR0,5,5,5,RACE: White,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A1K7FKUQ1EHVAZ,3,1,1,,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A3AAJIOULPV12E,5,5,4,RACE: White,4
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2ATPVV665TR66,6,6,6,,6
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A2BL85FF81CS3,5,1,1,RACE: White,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
An island recently discovered in Lake Michigan is inhabited by humans from the future.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Paris is located in France.,public.us-east-1.A2BC5O377KEL6N,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Paris is located in France.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Paris is located in France.,public.us-east-1.A2BL85FF81CS3,5,5,1,RACE: White,1
Paris is located in France.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
Paris is located in France.,public.us-east-1.A1K7FKUQ1EHVAZ,6,1,1,,1
Paris is located in France.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Paris is located in France.,public.us-east-1.A1NN61ZAXV9FR0,4,5,6,RACE: White,5
Paris is located in France.,public.us-east-1.A19BG3DNCB8371,4,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Paris is located in France.,public.us-east-1.A3U5FZX51JBFQW,6,6,5,RACE: White,5
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A2ATPVV665TR66,6,6,6,,6
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A3U5FZX51JBFQW,5,5,4,RACE: White,6
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.APQXZF7GKNTC,3,4,1,NONE,3
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A2BL85FF81CS3,4,1,1,RACE: White,1
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A3AAJIOULPV12E,5,5,3,RACE: White,4
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A1K7FKUQ1EHVAZ,3,6,5,RACE: White,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A3U5FZX51JBFQW,4,4,6,RACE: White,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,4
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A2ATPVV665TR66,6,6,6,RACE: White,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A6MCR5VWBFWZT,6,6,6,GENDER: Men; RACE: White,6
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A10Q1TJDW26M30,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A2BC5O377KEL6N,5,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1NN61ZAXV9FR0,4,4,5,RACE: White,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A1K7FKUQ1EHVAZ,3,1,1,,1
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.APQXZF7GKNTC,5,5,1,NONE,5
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A2ATPVV665TR66,6,6,6,NONE,6
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A3AAJIOULPV12E,6,5,4,RACE: White,3
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
Las Vegas is located in the state of Nevada.,public.us-east-1.A3U5FZX51JBFQW,5,5,5,RACE: White,6
Las Vegas is located in the state of Nevada.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A19BG3DNCB8371,5,5,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Las Vegas is located in the state of Nevada.,public.us-east-1.A2BL85FF81CS3,5,4,1,RACE: White,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A10Q1TJDW26M30,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Las Vegas is located in the state of Nevada.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,1
Las Vegas is located in the state of Nevada.,public.us-east-1.A3AAJIOULPV12E,5,5,4,RACE: White,4
Las Vegas is located in the state of Nevada.,public.us-east-1.A1K7FKUQ1EHVAZ,5,4,1,RACE: White,5
Las Vegas is located in the state of Nevada.,public.us-east-1.A1NN61ZAXV9FR0,4,5,6,RACE: White,5
A week contains seven days.,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
A week contains seven days.,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
A week contains seven days.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
A week contains seven days.,public.us-east-1.A2ATPVV665TR66,6,5,5,NONE,6
A week contains seven days.,public.us-east-1.A3U5FZX51JBFQW,5,6,5,RACE: White,4
A week contains seven days.,public.us-east-1.A19BG3DNCB8371,5,5,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
A week contains seven days.,public.us-east-1.A2BL85FF81CS3,5,1,1,,1
A week contains seven days.,public.us-east-1.A1NN61ZAXV9FR0,3,5,6,RACE: White,5
A week contains seven days.,public.us-east-1.A10Q1TJDW26M30,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A6MCR5VWBFWZT,5,5,5,GENDER: Men; RACE: White,5
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A3U5FZX51JBFQW,5,5,4,RACE: White,6
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2ATPVV665TR66,6,5,6,,6
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A1NN61ZAXV9FR0,3,6,5,RACE: White,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A3AAJIOULPV12E,6,5,4,RACE: White,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A19BG3DNCB8371,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2ATPVV665TR66,6,6,6,,6
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A2BC5O377KEL6N,5,4,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A1K7FKUQ1EHVAZ,6,1,1,,1
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A10Q1TJDW26M30,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A3AAJIOULPV12E,5,4,5,RACE: White,4
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A1NN61ZAXV9FR0,3,6,3,RACE: White,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A15QVZHXJYWO31,5,6,4,RACE: Hispanic,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1K7FKUQ1EHVAZ,5,1,1,,1
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1NN61ZAXV9FR0,2,4,5,RACE: White,3
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A2ATPVV665TR66,6,6,6,RACE: White,6
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A1JDPMVFB8HNMH,6,4,5,RACE: White,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A10Q1TJDW26M30,6,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A12KQGDA5YYCW7,6,6,2,RACE: White,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A3U5FZX51JBFQW,4,5,6,,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A2BC5O377KEL6N,5,5,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,4
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A3AAJIOULPV12E,3,5,3,RACE: White,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A1K7FKUQ1EHVAZ,2,1,1,,1
Harvard is teaching medical students to treat transgender infants,public.us-east-1.APQXZF7GKNTC,5,5,4,GENDER: Transgender / Non-binary,4
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A6MCR5VWBFWZT,6,6,6,GENDER: Men; RACE: White,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A1NN61ZAXV9FR0,2,5,4,RACE: White,4
