claim,worker,assessment_checkworthy,assessment_general_public,assessment_group_harm,assessment_group_harm_specify,assessment_truth
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A28LVKN22K756,6,6,6,,2
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The Great Wall of China was built entirely by one person,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
The Great Wall of China was built entirely by one person,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The Great Wall of China was built entirely by one person,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
A circle is round.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
A circle is round.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.APQXZF7GKNTC,2,3,1,NONE,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Water is a liquid at room temperature.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
Water is a liquid at room temperature.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Water is a liquid at room temperature.,public.us-east-1.A2Q99XBBVXFPG7,1,1,1,NONE,1
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,6
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A12KQGDA5YYCW7,6,5,6,RACE: White,5
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A28LVKN22K756,6,6,6,,2
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A2Q99XBBVXFPG7,1,3,1,NONE,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A12KQGDA5YYCW7,6,5,6,RACE: White,6
Scientists have discovered a new planet that is entirely made of chocolate.,public.us-east-1.A28LVKN22K756,5,5,6,GENDER: Women,2
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.APQXZF7GKNTC,5,4,1,NONE,4
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.APQXZF7GKNTC,5,5,5,RACE: Hispanic,4
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,1
"Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",public.us-east-1.APQXZF7GKNTC,5,6,1,NONE,3
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.APQXZF7GKNTC,3,4,1,NONE,5
Joe Biden has four eyes on the top of his head.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Joe Biden has four eyes on the top of his head.,public.us-east-1.APQXZF7GKNTC,1,1,1,,6
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The character of James Bond has been portrayed by ten different actors over the course of the film franchise's 60-year history.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A28LVKN22K756,6,6,5,,2
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.APQXZF7GKNTC,5,4,3,RACE: Hispanic,3
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Apples are a type of fruit.,public.us-east-1.A28LVKN22K756,6,6,5,,2
Apples are a type of fruit.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A2Q99XBBVXFPG7,1,3,1,NONE,1
February was chosen as Black History month because it’s the shortest month,public.us-east-1.APQXZF7GKNTC,4,3,2,NONE,5
A day contains 24 hours.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A28LVKN22K756,6,6,4,GENDER: Women,1
Diamonds are very expensive.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Diamonds are very expensive.,public.us-east-1.APQXZF7GKNTC,1,1,1,NONE,1
Diamonds are very expensive.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The moon orbits around the Earth.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
The moon orbits around the Earth.,public.us-east-1.A28LVKN22K756,6,6,4,GENDER: Women,2
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Wizards have illegally manipulated the weather to cause devastating storms.,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Undocumented immigrants don't pay taxes,public.us-east-1.A12KQGDA5YYCW7,6,6,5,RACE: White,5
Undocumented immigrants don't pay taxes,public.us-east-1.APQXZF7GKNTC,4,5,3,RACE: Hispanic,2
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A2Q99XBBVXFPG7,5,4,4,NONE,3
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,2
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",public.us-east-1.A2Q99XBBVXFPG7,4,4,3,NONE,2
The first paramedics in the United States were Black men.,public.us-east-1.A2Q99XBBVXFPG7,5,6,5,RACE: African American,2
The first paramedics in the United States were Black men.,public.us-east-1.A28LVKN22K756,6,4,5,GENDER: Women; RACE: East or South Asian; SEXUAL ORIENTATION: LGBTQ,2
Water is a liquid at room temperature.,public.us-east-1.AI91L9BSP6NBM,4,4,1,NONE,2
The moon orbits around the Earth.,public.us-east-1.AI91L9BSP6NBM,5,5,1,NONE,1
Beef comes from cows.,public.us-east-1.A2Q99XBBVXFPG7,5,5,5,NONE,1
"The Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent.",public.us-east-1.A1PZNXUXSW2MH0,5,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A2Q99XBBVXFPG7,5,5,4,NONE,5
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,3
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,public.us-east-1.A28LVKN22K756,4,4,6,GENDER: Women,1
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A1MHUF6WJDR4A2,6,3,5,GENDER: Women,5
Apples are a type of fruit.,public.us-east-1.A12KQGDA5YYCW7,5,3,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
People require oxygen to survive.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
Joe Biden has four eyes on the top of his head.,public.us-east-1.A28LVKN22K756,6,5,3,GENDER: Women,2
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A2Q99XBBVXFPG7,5,5,5,NONE,5
Illegal Immigrants Can Be Police Officers In California,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women; RACE: East or South Asian,3
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,public.us-east-1.A1PZNXUXSW2MH0,5,6,4,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A2WSWG9IQ0ZOC8,1,5,1,NONE,1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A2Q99XBBVXFPG7,5,5,5,NONE,4
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",public.us-east-1.A28LVKN22K756,5,5,5,GENDER: Women,2
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A1SCF3L6LTFQHF,5,6,1,NONE,1
The first-ever MTV Video Music Awards ceremony was held in 1984.,public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",public.us-east-1.AI91L9BSP6NBM,5,6,1,NONE,3
The longest recorded field goal was made from a distance of 64 yards.,public.us-east-1.A2Q99XBBVXFPG7,5,2,5,NONE,2
A circle is round.,public.us-east-1.A1PZNXUXSW2MH0,5,5,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
You’ll never be able to have children if you have an abortion.,public.us-east-1.A1MHUF6WJDR4A2,5,4,4,GENDER: Women,1
A bicycle has two wheels.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,public.us-east-1.A1MHUF6WJDR4A2,5,4,3,GENDER: Men; GENDER: Women,6
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,public.us-east-1.AI91L9BSP6NBM,1,1,1,NONE,6
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",public.us-east-1.A2Q99XBBVXFPG7,5,4,4,NONE,4
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A2Q99XBBVXFPG7,1,4,4,NONE,6
February was chosen as Black History month because it’s the shortest month,public.us-east-1.A28LVKN22K756,6,6,3,GENDER: Women,2
Undocumented immigrants don't pay taxes,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
Las Vegas is located in the state of Nevada.,public.us-east-1.A28LVKN22K756,5,5,6,GENDER: Women,2
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
The Great Wall of China was built entirely by one person,public.us-east-1.AI91L9BSP6NBM,1,1,1,NONE,1
“Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A2Q99XBBVXFPG7,4,4,4,NONE,6
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",public.us-east-1.A28LVKN22K756,5,5,2,GENDER: Women; RACE: East or South Asian,2
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.AI91L9BSP6NBM,3,6,1,NONE,6
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",public.us-east-1.A28LVKN22K756,6,6,5,GENDER: Women,2
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",public.us-east-1.AI91L9BSP6NBM,5,5,1,NONE,1
"If you mix water and sand in a blender, you'll create a new type of energy that can power a small town for a week.",public.us-east-1.A1MHUF6WJDR4A2,5,4,2,NONE,6
All diseases can be spread through radio waves.,public.us-east-1.A2Q99XBBVXFPG7,5,6,4,NONE,6
A day contains 24 hours.,public.us-east-1.A2Q99XBBVXFPG7,4,6,6,NONE,1
A day contains 24 hours.,public.us-east-1.A28LVKN22K756,5,4,5,GENDER: Women,2
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A2Q99XBBVXFPG7,4,4,3,NONE,4
"""4.2 million illegal aliens have crossed since Joe Biden became president""",public.us-east-1.A28LVKN22K756,6,5,4,GENDER: Women; RACE: Hispanic; SEXUAL ORIENTATION: LGBTQ,4
An almond is a type of nut.,public.us-east-1.A28LVKN22K756,6,5,5,GENDER: Women,2
An hour contains 60 minutes.,public.us-east-1.A2Q99XBBVXFPG7,6,5,4,NONE,1
An hour contains 60 minutes.,public.us-east-1.A12KQGDA5YYCW7,5,4,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,5
"In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",public.us-east-1.A28LVKN22K756,4,5,2,GENDER: Women,2
Reporters trying to get in are being arrested' after Ohio derailment,public.us-east-1.A2Q99XBBVXFPG7,4,5,5,NONE,6
Harvard is teaching medical students to treat transgender infants,public.us-east-1.A28LVKN22K756,6,5,2,GENDER: Women,2
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,2
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A2Q99XBBVXFPG7,4,4,3,NONE,5
The world's tallest tree forms a bridge from Earth to Mars.,public.us-east-1.AI91L9BSP6NBM,2,4,4,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A week contains seven days.,public.us-east-1.A1SCF3L6LTFQHF,6,6,6,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,1
Aborted fetal cells are in artificial flavors added to food products people eat.,public.us-east-1.A28LVKN22K756,6,5,6,GENDER: Women,3
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,public.us-east-1.A2Q99XBBVXFPG7,6,5,5,GENDER: Women,2
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.A2Q99XBBVXFPG7,4,4,4,NONE,6
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",public.us-east-1.AI91L9BSP6NBM,3,3,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
A California ballot measure would 'extend abortions up to 9 months',public.us-east-1.A28LVKN22K756,6,6,6,GENDER: Women,2
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.AI91L9BSP6NBM,5,2,1,NONE,6
An almond is a type of nut.,public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A3QGZ31LEUFJV1,3,3,4,NONE,5
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",public.us-east-1.A1PZNXUXSW2MH0,5,6,5,GENDER: Men; RACE: White; SEXUAL ORIENTATION: Heterosexual,6
A 'massive death plume' is raining down hydrochloric acid in Ohio,public.us-east-1.A3QGZ31LEUFJV1,3,3,5,NONE,4
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A1EAJF4MKAGHJE,5,5,5,GENDER: Women; RACE: White; SEXUAL ORIENTATION: Heterosexual,2
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",public.us-east-1.A3QGZ31LEUFJV1,3,3,5,NONE,4
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",public.us-east-1.A17PYKQUQH830K,5,5,5,GENDER: Women,4
